Sample01,Sample02,Sample03,Sample04,Sample05,Sample06,Sample07,Sample08,Sample09,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23
queF,ctrA,ctrA,ctrA,ctrA,ctrA,group_430,group_1304,group_1304,group_430,group_430,surA,group_1304,group_430,group_1304,parC,group_430,group_1304,group_1304,group_1304,group_1974,queF,group_2981
group_433,queF,queF,queF,queF,queF,dcd,group_430,group_430,dcd,dcd,lptD,group_430,dcd,group_430,group_1304,dcd,group_430,group_430,group_430,group_1031,group_433,sdhC
pntB,group_433,group_433,group_433,group_433,group_433,secB,dcd,dcd,secB,secB,xseA,dcd,secB,dcd,group_430,secB,dcd,dcd,dcd,group_1032,pntB,group_2982
group_434,pntB,pntB,pntB,pntB,pntB,ctrA,secB,secB,ctrA,ctrA,group_1817,secB,ctrA,secB,dcd,ctrA,secB,secB,secB,hflC,group_434,group_1034
ribN,group_434,group_434,group_434,group_434,group_434,queF,ctrA,ctrA,queF,queF,group_320,ctrA,queF,ctrA,secB,queF,ctrA,ctrA,ctrA,group_1975,ribN,group_1035
proP_1,ribN,ribN,ribN,ribN,ribN,group_433,queF,queF,group_433,group_433,group_321,queF,group_433,queF,ctrA,group_433,queF,queF,queF,group_1976,proP_1,rpsL
group_1307,proP_1,proP_1,proP_1,proP_1,proP_1,pntB,group_433,group_433,pntB,pntB,group_826,group_433,pntB,group_433,queF,pntB,group_433,group_433,group_433,sdhC,group_2486,rpsG
sca2_2,group_1307,group_1307,group_1307,group_1307,group_1307,group_434,pntB,pntB,group_434,group_434,xthA_2,pntB,group_434,pntB,group_433,group_434,pntB,pntB,pntB,group_1977,group_2487,group_1036
cysS,group_985,group_985,group_985,group_985,group_985,ribN,group_434,group_434,ribN,ribN,group_827,group_434,ribN,group_434,pntB,ribN,group_434,group_434,group_434,group_1034,group_1307,group_1037
rpsB,cysS,cysS,cysS,cysS,cysS,proP_1,ribN,ribN,proP_1,proP_1,der,ribN,proP_1,ribN,group_434,proP_1,ribN,ribN,ribN,group_1035,group_2488,group_1038
tsf,rpsB,rpsB,rpsB,rpsB,rpsB,group_1307,proP_1,proP_1,group_1307,group_1307,group_322,proP_1,group_1307,proP_1,ribN,group_1307,proP_1,proP_1,proP_1,rpsL,cysS,group_1039
group_18,tsf,tsf,tsf,tsf,tsf,sca2_2,group_1307,group_1307,sca2_2,sca2_2,group_323,group_1307,sca2_2,group_1307,proP_1,sca2_2,group_1307,group_1307,group_1307,rpsG,rpsB,group_1040
group_19,group_18,group_18,group_18,group_18,group_18,cysS,sca2_2,sca2_2,cysS,cysS,group_1818,sca2_2,cysS,sca2_2,group_1307,cysS,sca2_2,sca2_2,sca2_2,group_1036,tsf,group_2983
waaA,group_19,group_19,group_19,group_19,group_19,rpsB,cysS,cysS,rpsB,rpsB,group_1819,cysS,rpsB,cysS,sca2_2,rpsB,cysS,cysS,cysS,group_1037,group_18,group_2984
group_441,waaA,waaA,waaA,waaA,waaA,tsf,rpsB,rpsB,tsf,tsf,group_142,rpsB,tsf,rpsB,cysS,tsf,rpsB,rpsB,rpsB,group_1038,group_19,rpoB
aatA,group_441,group_441,group_441,group_441,group_441,group_18,tsf,tsf,group_18,group_18,group_974,tsf,group_18,tsf,rpsB,group_18,tsf,tsf,tsf,group_1039,waaA,rpoC
